BorrowID,CopyID,ReaderID,BorrowDate,DueDate,ReturnDate
1,1,1,2024-12-11,2025-1-10,2025-1-13
2,4,2,2024-4-23,2024-5-23,2024-5-17
3,9,3,2024-5-6,2024-6-5,2024-5-30
4,10,4,2024-4-12,2024-5-12,2024-5-5
5,13,5,2024-3-8,2024-4-7,2024-3-30
6,15,6,2025-1-15,2025-2-14,2025-2-19
7,18,7,2025-3-30,2025-4-29,2025-4-29
8,21,8,2024-9-24,2024-10-24,
9,24,9,2023-6-10,2023-7-10,2023-7-9
10,30,10,2024-8-31,2024-9-30,2024-10-3
11,33,11,2024-11-27,2024-12-27,2025-1-1
12,37,12,2025-2-6,2025-3-8,
13,40,13,2025-4-7,2025-5-7,2025-4-20
14,41,14,2025-1-12,2025-2-11,2025-2-1
15,46,15,2024-6-18,2024-7-18,2024-7-13
16,49,16,2025-3-28,2025-4-27,2025-5-1
17,51,17,2023-8-12,2023-9-11,2023-8-25
18,52,18,2024-1-18,2024-2-17,2024-1-30
19,54,19,2024-5-23,2024-6-22,2024-6-17
20,55,20,2024-12-13,2025-1-12,2025-1-14
21,57,21,2023-8-7,2023-9-6,2023-8-31
22,60,22,2023-7-14,2023-8-13,2023-7-25
23,61,23,2024-5-15,2024-6-14,2024-6-2
24,62,24,2024-10-31,2024-11-30,2024-11-14
25,66,25,2024-5-7,2024-6-6,2024-5-21
26,67,26,2023-6-11,2023-7-11,2023-6-27
27,71,27,2023-11-30,2023-12-30,2023-12-15
28,74,28,2023-9-4,2023-10-4,2023-10-7
29,78,29,2023-8-16,2023-9-15,2023-9-7
30,79,30,2023-10-4,2023-11-3,2023-10-30
31,81,31,2023-9-30,2023-10-30,2023-10-29
32,86,32,2024-11-27,2024-12-27,2025-1-1
33,88,33,2024-3-8,2024-4-7,2024-4-4
34,91,34,2024-6-17,2024-7-17,2024-7-19
35,92,35,2024-8-30,2024-9-29,2024-9-29
36,94,36,2025-1-9,2025-2-8,2025-2-6
37,96,37,2024-7-1,2024-7-31,2024-7-28
38,100,38,2024-11-11,2024-12-11,2024-12-13
39,102,39,2025-4-11,2025-5-11,2025-5-12
40,105,40,2024-9-30,2024-10-30,2024-10-25
41,109,41,2024-8-2,2024-9-1,2024-8-22
42,111,42,2024-7-10,2024-8-9,2024-7-22
