id,nam,qm,da,lx,dd,zbf,fy
http://bsvt.doub.com/location/C10444,钱x,加入因趣相聚 周末有趣 l 趣味定向挑战赛,1,运动,运动技术学院,pdlong911,免费
http://bsvt.doub.com/location/C10348,陈x,YOU趣Citywalk｜走进小维也纳，寻找犹太方舟，打卡美术馆,1,运动,美术馆,一只壶,49元(活动费)
http://bsvt.doub.com/location/C11093,黄xx,野外攀岩 | 会当凌绝顶 最酷都市人（零基础要求 自驾拼车）,1,运动,技术学院,Hmjuice,免费
http://bsvt.doub.com/location/C10278,高xx,野外攀岩 | 会当凌绝顶 最酷都市人（零基础要求 自驾拼车）,1,运动,技术学院,Hmjuice,免费
http://bsvt.doub.com/location/C10594,罗xx,加入因趣相聚 周末有趣 l 趣味定向挑战赛,1,运动,运动技术学院,pdlong911,免费
http://bsvt.doub.com/location/C10305,马x,加入因趣相聚 周末有趣 l 趣味定向挑战赛,1,运动,运动技术学院,pdlong911,免费
http://bsvt.doub.com/location/C10477,汪x,定期约羽毛球，健身+聚餐+认识朋友，费用AA。,1,运动,天天羽毛球馆,柯宝宝,免费
http://bsvt.doub.com/location/C10964,苏xx,侠梦绝壁 | 体验大峡谷漂流,1,运动,舍利路集合,奶糕妈妈,200元(预付)
http://bsvt.doub.com/location/C10326,洪x,水质最好之处丽人谷，漂流游泳打水仗,1,运动,科技大厦,票牛,200元(预付)
http://bsvt.doub.com/location/C10254,张x,边走边聊，逛最浪漫的文艺道路,1,运动,将城公园,pdlong911,50.0元(人均)
http://bsvt.doub.com/location/C10546,殷x,攀岩：不畏艰险的攀登，才能到达财富的巅峰。,1,运动,东大街集合,Sammn,免费
http://bsvt.doub.com/location/C10695,黄x,夜徒滨江步道，江畔聊天交友散步,1,运动,人民公园,素有人,免费
http://bsvt.doub.com/location/C10851,徐x,边走边聊，逛最浪漫的文艺道路,1,运动,将城公园,pdlong911,50.0元(人均)
http://bsvt.doub.com/location/C10808,李xx,边走边聊，逛最浪漫的文艺道路,1,运动,将城公园,pdlong911,50.0元(人均)
http://bsvt.doub.com/location/C10725,管xx,水质最好之处丽人谷，漂流游泳打水仗,1,运动,科技大厦,票牛,200元(预付)
http://bsvt.doub.com/location/C10028,陈xx,侠梦绝壁 | 体验大峡谷漂流,1,运动,舍利路集合,奶糕妈妈,200元(预付)
http://bsvt.doub.com/location/C10485,曹x,夜徒滨江步道，江畔聊天交友散步,1,运动,人民公园,素有人,免费
