id,xh,chy,fts,lbqz
http://bsvt.doub.com/group/C10121,杨梅烧酒,153,820,美食
http://bsvt.doub.com/group/C10460,私房菜,629,82,美食
http://bsvt.doub.com/group/C10045,创意产业展,29,447,展览
http://bsvt.doub.com/group/C10369,便利店美食,98,484,美食
http://bsvt.doub.com/group/C10310,亿佳惠薅羊毛,800,636,活动
http://bsvt.doub.com/group/C10306,冰淇淋研究所,611,371,美食
http://bsvt.doub.com/group/C10059,就知道吃,810,83,美食
http://bsvt.doub.com/group/C10965,求职交流组,44,384,求职
http://bsvt.doub.com/group/C10618,省钱亿佳惠,717,167,活动
http://bsvt.doub.com/group/C10405,看展交流,825,336,展览
http://bsvt.doub.com/group/C10148,探索艺术约看展,670,822,展览
http://bsvt.doub.com/group/C10170,便利店美食,713,25,美食
http://bsvt.doub.com/group/C10463,职场论道,201,749,求职
http://bsvt.doub.com/group/C10975,心跳发烧节,217,708,营销
http://bsvt.doub.com/group/C10599,火锅研究会,917,454,美食
http://bsvt.doub.com/group/C11074,上班这件事,847,647,求职
http://bsvt.doub.com/group/C10345,便利店美食,23,878,美食
http://bsvt.doub.com/group/C10050,我们爱看话剧,13,616,展览
http://bsvt.doub.com/group/C10364,求职交流组,959,76,求职
http://bsvt.doub.com/group/C10321,人才服务中心,13,361,求职
http://bsvt.doub.com/group/C10300,便利店美食,798,213,美食
http://bsvt.doub.com/group/C10124,探索艺术约看展,335,680,展览
http://bsvt.doub.com/group/C10308,坚果兄弟,564,553,展览
http://bsvt.doub.com/group/C10615,新入职融入团队,802,356,求职
http://bsvt.doub.com/group/C10606,深夜食堂,965,555,美食
http://bsvt.doub.com/group/C11073,职场论道,438,234,求职
http://bsvt.doub.com/group/C10341,职场体验分享,421,861,求职
http://bsvt.doub.com/group/C10319,民工板砖协会,238,89,求职
http://bsvt.doub.com/group/C10070,探索艺术约看展,281,63,展览
http://bsvt.doub.com/group/C10558,食堂吃的好吗,337,530,美食
http://bsvt.doub.com/group/C10276,不能错过的展览,263,650,展览
http://bsvt.doub.com/group/C10628,我爱吃轻食！,514,979,美食
http://bsvt.doub.com/group/C10050,看展交流,141,665,展览
http://bsvt.doub.com/group/C10050,看展交流,141,665,展览
http://bsvt.doub.com/group/C10387,求职交流组,174,468,求职
http://bsvt.doub.com/group/C10067,职场论道,707,122,求职
http://bsvt.doub.com/group/C10092,让工作来找你,10,888,求职
http://bsvt.doub.com/group/C10206,就知道吃,189,236,美食
http://bsvt.doub.com/group/C10138,力挺兰达Landa,79,462,活动
http://bsvt.doub.com/group/C10080,杨梅烧酒,384,877,美食
http://bsvt.doub.com/group/C10389,展会交流协会,540,127,展览
http://bsvt.doub.com/group/C10064,兰达Landa交流,663,944,活动
http://bsvt.doub.com/group/C10292,亿佳惠活动营,159,865,活动
http://bsvt.doub.com/group/C10288,极简护肤,231,933,护肤
http://bsvt.doub.com/group/C10495,食堂吃的好吗,197,824,美食
http://bsvt.doub.com/group/C10543,简单发烧节,703,695,营销
http://bsvt.doub.com/group/C11042,我们爱看话剧,257,509,展览
http://bsvt.doub.com/group/C10051,极简护肤,256,491,护肤
http://bsvt.doub.com/group/C10222,私房菜,879,640,美食
http://bsvt.doub.com/group/C10557,发烧节分享,842,611,营销
http://bsvt.doub.com/group/C10430,我爱吃轻食！,53,66,美食
http://bsvt.doub.com/group/C10465,私房菜,908,820,美食
http://bsvt.doub.com/group/C10190,冰淇淋研究所,861,256,美食
http://bsvt.doub.com/group/C10474,亿佳惠品牌交流,867,388,活动
http://bsvt.doub.com/group/C10136,户外露营烧烤,931,451,美食
http://bsvt.doub.com/group/C10452,人才基地,563,202,求职
http://bsvt.doub.com/group/C10072,让工作来找你,129,844,求职
http://bsvt.doub.com/group/C10562,火锅研究会,977,462,美食
http://bsvt.doub.com/group/C10181,职场吐槽大会,364,816,求职
http://bsvt.doub.com/group/C10160,杨梅烧酒,727,722,美食
http://bsvt.doub.com/group/C10052,带你看展览,617,843,展览
http://bsvt.doub.com/group/C10711,孤独的美食家,495,418,美食
http://bsvt.doub.com/group/C10189,职场论道,484,971,求职
http://bsvt.doub.com/group/C10215,求职交流组,847,754,求职
http://bsvt.doub.com/group/C10107,创意产业展,133,71,展览
http://bsvt.doub.com/group/C10051,兰达Landa交流,956,230,活动
http://bsvt.doub.com/group/C10298,求职交流组,257,462,求职
http://bsvt.doub.com/group/C10183,一起去看展,797,984,展览
http://bsvt.doub.com/group/C10414,冰淇淋研究所,698,645,美食
http://bsvt.doub.com/group/C10667,冰淇淋研究所,74,836,美食
http://bsvt.doub.com/group/C10507,新入职融入团队,570,232,求职
http://bsvt.doub.com/group/C10144,就知道吃,462,544,美食
http://bsvt.doub.com/group/C10063,战痘护肤,10,589,护肤
http://bsvt.doub.com/group/C11027,职场吐槽大会,614,999,求职
http://bsvt.doub.com/group/C10177,看展交流,984,408,展览
http://bsvt.doub.com/group/C10296,火锅研究会,200,828,美食
http://bsvt.doub.com/group/C10321,艺术中心,29,530,展览
http://bsvt.doub.com/group/C10457,冰淇淋研究所,528,557,美食
http://bsvt.doub.com/group/C10268,深夜食堂,775,286,美食
http://bsvt.doub.com/group/C10018,同事吐槽会,729,96,求职
http://bsvt.doub.com/group/C10782,孟京辉戏剧工作室,494,939,展览
